t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,q_real_rad,dq_real,tau_real_nm
199180593678300,0.0166861,ramp,-0.0040054932478827965,0.7786846666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.004884004884004867
199180594093000,0.0171008,ramp,-0.0040054932478827965,0.7980373333333334,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180595117800,0.0181256,ramp,-0.0040054932478827965,0.8458613333333334,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180596112900,0.0191207,ramp,-0.0040054932478827965,0.8922993333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180597799200,0.020807,ramp,-0.0040054932478827965,0.9709933333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180598430400,0.0214382,ramp,-0.0040054932478827965,1.0004493333333335,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180599471600,0.0224794,ramp,-0.0040054932478827965,1.0490386666666667,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180600452500,0.0234603,ramp,-0.0040054932478827965,1.0948140000000002,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180601473100,0.0244809,ramp,-0.0040054932478827965,1.142442,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180602487000,0.0254948,ramp,-0.0040054932478827965,1.1897573333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180603512400,0.0265202,ramp,-0.0040054932478827965,1.2376093333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180604484800,0.0274926,ramp,-0.0040054932478827965,1.282988,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180605529900,0.0285377,ramp,-0.0040054932478827965,1.3317593333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180606570700,0.0295785,ramp,-0.0040054932478827965,1.38033,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180607590300,0.0305981,ramp,-0.0040054932478827965,1.4279113333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180608590300,0.0315981,ramp,-0.0040054932478827965,1.4745780000000002,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180609142900,0.0321507,ramp,-0.0040054932478827965,1.500366,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180610783800,0.0337916,ramp,-0.0040054932478827965,1.5769413333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180611412600,0.0344204,ramp,-0.0040054932478827965,1.6062853333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180612436200,0.035444,ramp,-0.0040054932478827965,1.6540533333333334,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180613431100,0.0364389,ramp,-0.0040054932478827965,1.700482,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180614459400,0.0374672,ramp,-0.0040054932478827965,1.7484693333333332,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180615452300,0.0384601,ramp,-0.0040054932478827965,1.7948046666666666,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180616495900,0.0395037,ramp,-0.0040054932478827965,1.8435059999999999,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180617467600,0.0404754,ramp,-0.0040054932478827965,1.8888520000000002,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180618491100,0.0414989,ramp,-0.0040054932478827965,1.9366153333333331,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180619487700,0.0424955,ramp,-0.0040054932478827965,1.9831233333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180620532600,0.0435404,ramp,-0.0040054932478827965,2.0318853333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
199180621505500,0.0445133,ramp,-0.0040054932478827965,2.077287333333333,2.0,-0.0040054932478827965,-0.010989010989007397,-0.0146520146520146
