scenario,metric,statistic,a,b,b_minus_a,b_over_a
lateral_left,foot_force_p95_n,p95,56.957068634033206,57.07350673675536,0.1164381027221566,1.002044313471789
lateral_left,touchdown_force_p95_n,p95,54.878314590454096,72.80784626007078,17.92953166961668,1.3267143279348355
lateral_left,contact_mismatch_mean,mean,0.07366071428571429,0.08258928571428571,0.008928571428571425,1.121212121212121
lateral_left,swing_height_mean_m,mean,0.03768315621917801,0.03452551185286471,-0.0031576443663133003,0.9162054168725313
lateral_left,action_second_step_p95,p95,0.43623064160346936,0.3097605109214782,-0.12647013068199114,0.7100842567658243
stand,velocity_x_rmse,rms,0.0007422389461447257,0.0006535095372789086,-8.872940886581714e-05,0.880457082821256
stand,yaw_rate_rmse,rms,0.0018825792134932462,0.0027214434977898003,0.0008388642842965541,1.4455930875492817
stand,base_tilt_rms,rms,0.0013791170199012734,0.0022379187108634473,0.0008588016909621739,1.6227185065293828
stand,base_ang_vel_xy_rms,rms,0.008450369330136686,0.01022347517633172,0.001773105846195033,1.209825840377364
stand,joint_target_step_p95_deg,p95,0.0010646130481934248,0.0007013323617133715,-0.00036328068648005325,0.6587673924375474
stand,joint_acc_p95_rad_s2,p95,0.03638900816440582,0.03191642463207245,-0.004472583532333374,0.8770897103838003
stand,joint_torque_p95_nm,p95,1.343373030424118,2.2254037857055664,0.8820307552814484,1.6565791744404614
stand,mechanical_power_mean_w,mean,0.19518006686121225,0.24407904342349088,0.04889897656227862,1.2505326355741515
stand,foot_force_p95_n,p95,33.98146991729736,35.840326690673834,1.8588567733764734,1.0547020708021306
stand,touchdown_force_p95_n,p95,,,,
stand,contact_mismatch_mean,mean,0.0,0.0,0.0,
stand,swing_height_mean_m,mean,,,,
stand,action_second_step_p95,p95,0.0001539170742034912,7.120072841644285e-05,-8.271634578704834e-05,0.46259148820818646
yaw_left,velocity_x_rmse,rms,0.012276451612936319,0.01906067066009821,0.006784219047161892,1.5526205178060586
yaw_left,yaw_rate_rmse,rms,0.06133619548840757,0.06309732511395083,0.0017611296255432632,1.0287127300857144
yaw_left,base_tilt_rms,rms,0.02938791201584998,0.024014235344891055,-0.005373676670958925,0.8171467007230488
yaw_left,base_ang_vel_xy_rms,rms,0.15207355389088834,0.14612997076936388,-0.0059435831215244594,0.960916392301919
yaw_left,joint_target_step_p95_deg,p95,3.1825959488431748,2.962010656696359,-0.22058529214681588,0.930690136073668
yaw_left,joint_acc_p95_rad_s2,p95,32.09523677825928,29.13402557373047,-2.9612112045288086,0.9077367390997196
yaw_left,joint_torque_p95_nm,p95,5.330256104469299,4.869005799293518,-0.46125030517578125,0.9134656391483641
yaw_left,mechanical_power_mean_w,mean,2.7895329940531934,2.7684619607669965,-0.021071033286196972,0.992446393955147
yaw_left,foot_force_p95_n,p95,57.0378396987915,58.79719066619873,1.7593509674072294,1.0308453296390274
yaw_left,touchdown_force_p95_n,p95,45.87772064208984,57.70682296752929,11.82910232543945,1.2578398002316404
yaw_left,contact_mismatch_mean,mean,0.11383928571428571,0.11383928571428571,0.0,1.0
yaw_left,swing_height_mean_m,mean,0.0374206119948732,0.034472604659164234,-0.002948007335708963,0.9212196920747086
yaw_left,action_second_step_p95,p95,0.36142056435346587,0.302100682258606,-0.05931988209485989,0.835870207881017
yaw_right,velocity_x_rmse,rms,0.017287850407116716,0.023761817219563948,0.006473966812447232,1.3744807283722307
yaw_right,yaw_rate_rmse,rms,0.06597804632066825,0.06848586520444458,0.002507818883776325,1.038009899104738
yaw_right,base_tilt_rms,rms,0.032309764758346876,0.014368407092993703,-0.017941357665353173,0.4447078832191677
yaw_right,base_ang_vel_xy_rms,rms,0.17643425063419613,0.12052962193139916,-0.05590462870279697,0.6831418587839563
yaw_right,joint_target_step_p95_deg,p95,3.959247559954287,3.0992008331812007,-0.8600467267730862,0.782775208230976
yaw_right,joint_acc_p95_rad_s2,p95,28.02214479446411,21.377892017364502,-6.644252777099609,0.7628927826248257
yaw_right,joint_torque_p95_nm,p95,5.555293440818787,4.849114418029785,-0.7061790227890015,0.8728817783773238
yaw_right,mechanical_power_mean_w,mean,3.339978796030794,2.560885909412588,-0.7790928866182059,0.766737175833549
yaw_right,foot_force_p95_n,p95,57.72698554992675,56.42369232177734,-1.303293228149414,0.9774231546003346
yaw_right,touchdown_force_p95_n,p95,69.3395915985108,69.57670974731445,0.23711814880365978,1.0034196646293594
yaw_right,contact_mismatch_mean,mean,0.09821428571428571,0.07142857142857142,-0.026785714285714288,0.7272727272727273
yaw_right,swing_height_mean_m,mean,0.03817094016509751,0.03564825509896591,-0.002522685066131604,0.9339108480110668
yaw_right,action_second_step_p95,p95,0.4114427931606763,0.31002423465251916,-0.10141855850815712,0.7535050796999834
