t_host_mono_ns,kind,channel,can_id
196391525875100,mit_zero,0,2
196391526571800,mit_zero,1,3
196391527473900,mit_zero,1,4
196391528595200,mit_zero,0,5
196391529775700,mit_zero,0,6
196391530425000,mit_zero,1,7
196391531427800,mit_zero,1,8
196391532482600,mit_zero,0,1
196391533545400,mit_zero,0,2
196391534581300,mit_zero,1,3
196391535720000,mit_zero,1,4
196391536304200,mit_zero,0,5
196391537307300,mit_zero,0,6
196391538406700,mit_zero,1,7
196391539516800,mit_zero,1,8
196391540679400,mit_zero,0,1
196391541284100,mit_zero,0,2
196391542327600,mit_zero,1,3
196391543437500,mit_zero,1,4
196391544587800,mit_zero,0,5
196391545746600,mit_zero,0,6
196391546374500,mit_zero,1,7
196391547378500,mit_zero,1,8
196391548437000,mit_zero,0,1
196391549455300,mit_zero,0,2
196391550477500,mit_zero,1,3
196391551614500,mit_zero,1,4
196391552719200,mit_zero,0,5
196391553327200,mit_zero,0,6
196391554349200,mit_zero,1,7
196391555465300,mit_zero,1,8
196391556597700,mit_zero,0,1
196391557701600,mit_zero,0,2
196391558322300,mit_zero,1,3
196391559325300,mit_zero,1,4
196391560398700,mit_zero,0,5
196391561485900,mit_zero,0,6
196391562481900,mit_zero,1,7
196391563557700,mit_zero,1,8
196391564745400,mit_zero,0,1
196391565338300,mit_zero,0,2
196391566344700,mit_zero,1,3
196391567425700,mit_zero,1,4
196391568533200,mit_zero,0,5
196391569651600,mit_zero,0,6
196391570827400,mit_zero,1,7
196391571443600,mit_zero,1,8
196391572516800,mit_zero,0,1
196391573600800,mit_zero,0,2
196391574600800,mit_zero,1,3
196391575195900,mit_zero,1,4
196391576217000,mit_zero,0,5
196391577305100,mit_zero,0,6
196391578400000,mit_zero,1,7
196391579441200,mit_zero,1,8
196391580503200,mit_zero,0,1
196391581606300,mit_zero,0,2
196391582197200,mit_zero,1,3
196391583218600,mit_zero,1,4
196391584269100,mit_zero,0,5
196391585355000,mit_zero,0,6
196391586480300,mit_zero,1,7
196391587488800,mit_zero,1,8
196391588640100,mit_zero,0,1
196391589815000,mit_zero,0,2
196391590426200,mit_zero,1,3
196391591447300,mit_zero,1,4
196391592480700,mit_zero,0,5
196391593553300,mit_zero,0,6
196391594671600,mit_zero,1,7
196391595288300,mit_zero,1,8
196391596271200,mit_zero,0,1
196391597312100,mit_zero,0,2
196391598375000,mit_zero,1,3
196391599417800,mit_zero,1,4
196391600457900,mit_zero,0,5
196391601591700,mit_zero,0,6
196391602536300,mit_zero,1,7
